stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,2,MARTINE AVE @ COURT ST,,41.031244,-73.767214,,,,,,0
6,6,TARRYTOWN RD @ CHATTERTON AVE,,41.034566,-73.777539,,,,,,0
7,7,TARRYTOWN RD @ CENTRAL AVE,,41.036964,-73.779483,,,,,,0
8,8,TARRYTOWN RD @ OLD KENSICO RD,,41.038253,-73.781692,,,,,,0
10,10,TARRYTOWN RD @ HILLSIDE AVE,,41.041508,-73.791243,,,,,,0
12,12,TARRYTOWN RD @ MANHATTAN AVE,,41.043159,-73.797111,,,,,,0
14,14,TARRYTOWN RD @ KNOLLWOOD RD,,41.045655,-73.80458,,,,,,0
15,15,E MAIN ST @ SPORTS AUTHORITY,,41.047392,-73.807012,,,,,,0
16,16,E MAIN ST @  WINTHROP AVE,,41.050974,-73.81187,,,,,,0
17,17,E MAIN ST @ N PERKINS AVE,,41.052599,-73.814574,,,,,,0
18,18,E MAIN ST @ N MORTIMER AVE,E MAIN ST & N MORTIMER ST,41.053933,-73.8168,,,,,,0
19,19,E MAIN ST @ N CENTRAL AVE,,41.054947,-73.819628,,,,,,0
20,20,E MAIN ST @ S STONE AVE,,41.054616,-73.819283,,,,,,0
21,21,E MAIN ST @ PERKINS AVE,,41.052366,-73.81455,,,,,,0
22,22,E MAIN ST @  KNOLLWOOD AVE,,41.05092,-73.812211,,,,,,0
23,23,TARRYTOWN RD @ GREENBURGH LIBRARY,E MAIN ST & UNNAMED ST,41.046891,-73.806622,,,,,,0
24,24,TARRYTOWN RD @ CROSSROADS PLAZA SC,TARRYTOWN RD & DOCK ST,41.043183,-73.80051,,,,,,0
25,25,TARRYTOWN RD @ MANHATTAN AVE,,41.042765,-73.796783,,,,,,0
27,27,TARRYTOWN RD @ GIBSON AVE,,41.041304,-73.791234,,,,,,0
30,30,TARRYTOWN RD @ AQUEDUCT RD,,41.03776,-73.781594,,,,,,0
31,31,TARRYTOWN RD @ CENTRAL AVE,,41.036567,-73.779772,,,,,,0
33,33,MARTIN LUTHER KING BLVD @ MAIN ST,,41.032453,-73.769799,,,,,,0
34,34,MAIN ST @ GALLERIA MALL,MAIN ST & MARTIN LUTHER KING BLVD,41.031907,-73.771521,,,,,,0
35,35,MAIN ST @ COURT ST,,41.032259,-73.76802,,,,,,0
37,37,MAIN ST @ S BROADWAY,,41.033696,-73.763492,,,,,,0
38,38,S BROADWAY @ MARTINE AVE,,41.032638,-73.762586,,,,,,0
39,39,BROADWAY @ W 242ND ST,,40.890104,-73.897752,,,,,,0
40,40,BROADWAY @ VAN CORTLANDT MANOR,,40.891807,-73.897117,,,,,,0
41,41,BROADWAY @ W 251ST ST,,40.895847,-73.896559,,,,,,0
42,42,BROADWAY @ LAKEVIEW PL,US-9 & W 252ND ST,40.89858,-73.897039,,,,,,0
44,44,BROADWAY @ MOSHOLU AVE,,40.904386,-73.896325,,,,,,0
45,45,BROADWAY @ W 260TH ST,,40.90731,-73.8964,,,,,,0
46,46,BROADWAY @ W 262ND ST,,40.91034,-73.896455,,,,,,0
47,47,S BROADWAY @ CARYL AVE,,40.911577,-73.896505,,,,,,0
48,48,S BROADWAY @ ROCKLEDGE PL,,40.915352,-73.896808,,,,,,0
50,50,S BROADWAY @ RADFORD ST,,40.917667,-73.896518,,,,,,0
51,51,S BROADWAY @ MCLEAN AVE,,40.92022,-73.896045,,,,,,0
52,52,S BROADWAY @ MORRIS ST,,40.921953,-73.895779,,,,,,0
53,53,S BROADWAY @ LUDLOW ST,,40.923775,-73.89549,,,,,,0
54,54,S BROADWAY @ UNDERCLIFF AVE,,40.924851,-73.89536,,,,,,0
55,55,S BROADWAY @ HERRIOT PL,,40.927808,-73.896017,,,,,,0
56,56,S BROADWAY @ PARK HILL AVE,,40.929382,-73.896608,,,,,,0
57,57,S BROADWAY @ CACACE JUSTICE CENTER,S BROADWAY & NEPPERHAN AVE,40.93036,-73.897688,,,,,,0
58,58,S BROADWAY @ NEPPERHAN AVE,,40.931533,-73.898633,,,,,,0
59,59,MAIN ST @ MILL ST,,40.934271,-73.898619,,,,,,0
61,61,WARBURTON AVE @ MANOR HOUSE SQ,,40.935563,-73.898882,,,,,,0
62,62,WARBURTON AVE @ QUINCY PL,,40.938847,-73.8982,,,,,,0
63,63,WARBURTON AVE @ ASHBURTON AVE,,40.94036,-73.89793,,,,,,0
64,64,WARBURTON AVE @ BABCOCK PL,,40.940907,-73.89786,,,,,,0
65,65,WARBURTON AVE @ LAMARTINE AVE,,40.942719,-73.897345,,,,,,0
